ticker,year,e_score,s_score,g_score,total_score
COF,2021,0.06,13.46,9.66,23.18
COO,2020,3.1,11.59,7.32,22.01
COO,2021,3.1,10.71,7.0,20.82
COO,2022,2.83,10.75,6.44,20.03
COP,2019,17.2,8.5,8.41,34.35
COP,2020,15.53,7.84,6.63,30.0
COP,2021,18.68,9.83,7.03,35.53
COP,2022,17.45,9.71,7.73,34.88
CPB,2019,8.97,9.71,5.43,24.12
CPB,2020,9.15,8.86,5.17,23.18
CPB,2021,9.4,7.82,4.78,22.0
CPT,2018,5.93,6.62,7.12,19.82
CPT,2019,5.79,6.56,7.48,19.9
CPT,2020,5.25,5.62,7.36,18.24
CPT,2021,5.14,4.82,6.44,16.4
CTRA,2022,23.42,14.01,9.07,46.51
CVX,2019,20.27,11.7,10.64,42.56
CVX,2020,18.87,11.81,10.1,40.78
CVX,2021,19.06,11.46,10.0,40.51
CVX,2022,21.15,10.07,10.06,41.28
DGX,2019,0.14,10.7,8.46,19.16
DGX,2020,0.14,10.34,8.44,18.92
DGX,2021,0.12,10.08,8.6,18.8
DGX,2022,0.13,12.67,8.1,20.9
DHI,2022,9.34,7.01,6.03,22.39
DHR,2020,4.63,18.23,9.86,32.72
DHR,2021,3.35,14.81,8.57,26.74
DHR,2022,1.37,8.23,6.13,15.73
DLR,2019,4.17,5.92,7.88,17.91
DLR,2020,3.41,5.38,5.54,14.33
DLR,2021,3.37,5.07,5.52,13.95
DLR,2022,3.23,3.7,6.1,13.02
DPZ,2019,6.08,14.48,6.98,27.52
DPZ,2021,5.22,14.79,6.66,26.67
DPZ,2022,7.72,16.68,6.81,31.21
DUK,2019,16.23,10.56,7.19,33.99
DUK,2020,15.8,11.37,6.36,33.54
DUK,2021,15.39,10.4,5.44,31.24
DUK,2022,14.49,8.57,4.59,27.66
DVN,2019,17.33,11.07,6.25,34.52
DVN,2020,17.26,9.92,6.62,33.79
DVN,2021,16.85,8.61,7.56,33.01
ECL,2019,14.41,10.3,7.48,32.17
ECL,2020,13.32,9.8,7.06,30.19
ECL,2021,10.33,8.6,6.54,25.47
ECL,2022,9.48,8.44,6.17,24.09
EIX,2019,19.08,12.0,7.86,38.87
EIX,2020,13.66,12.21,6.8,32.67
EIX,2021,11.07,11.59,5.97,28.65
EIX,2022,10.64,10.99,5.86,27.49
EMN,2019,13.15,6.61,7.94,27.65
EMN,2020,12.4,6.24,7.56,26.19
EMN,2022,11.82,5.45,7.24,24.51
EMN,2023,12.41,5.64,6.9,24.94
EOG,2019,23.89,12.77,8.05,44.78
EOG,2020,24.84,12.6,8.26,45.71
EOG,2021,19.63,11.04,8.24,38.91
EQR,2019,4.47,5.43,6.16,16.0
EQR,2020,4.56,5.21,5.76,15.52
EQR,2021,4.41,4.02,4.91,13.34
EQR,2022,2.91,3.0,5.14,11.05
EQT,2019,19.95,9.03,9.42,40.3
EQT,2020,21.64,8.35,7.53,37.52
EQT,2021,21.03,10.0,8.21,39.24
ETN,2019,4.66,7.04,6.03,17.84
ETN,2020,5.02,6.59,5.63,17.24
ETN,2021,5.0,6.45,5.68,17.12
ETN,2022,5.2,6.72,5.69,17.6
FCX,2019,20.58,11.87,6.85,39.97
FCX,2020,20.69,12.42,6.75,39.87
FCX,2021,18.17,11.86,5.53,35.56
FCX,2022,17.21,10.28,5.37,32.87
FDX,2020,5.87,9.29,6.11,21.26
FDX,2021,5.18,10.01,6.0,21.19
FDX,2022,5.29,9.32,5.84,20.45
FDX,2023,5.66,8.42,5.61,19.68
FIS,2021,0.34,11.57,6.61,18.51
FIS,2022,1.27,11.14,5.73,18.13
FMC,2019,16.53,12.54,6.91,36.22
FMC,2020,18.34,12.95,6.97,38.26
FMC,2021,17.86,13.54,7.31,38.71
FMC,2022,17.03,10.57,7.39,34.99
FRT,2019,4.1,5.8,7.12,16.98
FRT,2020,3.72,4.9,6.94,15.56
FRT,2021,2.24,4.44,6.08,12.75
FTV,2019,10.5,14.79,7.15,32.39
FTV,2020,10.01,14.6,6.96,31.56
FTV,2021,15.52,14.16,5.63,35.32
GLW,2021,7.91,5.2,6.89,20.0
GLW,2022,7.3,5.24,6.87,19.42
GPC,2019,4.25,5.85,3.41,13.37
GPC,2021,3.71,5.14,3.9,12.75
GPC,2022,3.61,5.22,3.78,12.6
GPC,2023,4.14,5.2,3.79,13.14
GPN,2019,0.18,14.04,7.57,21.85
GPN,2020,0.18,13.52,7.87,21.58
GPN,2021,0.38,10.96,7.31,18.64
GPN,2022,1.31,10.92,6.95,19.18
GWW,2019,1.41,5.85,6.75,13.88
GWW,2020,1.39,5.25,6.38,13.02
GWW,2021,3.21,5.57,6.05,14.83
GWW,2022,3.41,5.48,5.72,14.6
HBAN,2019,2.53,12.71,9.53,24.55
HBAN,2020,2.48,11.43,8.8,22.72
HBAN,2021,2.05,11.31,7.85,21.22
HBAN,2022,1.96,10.54,7.79,20.28
HIG,2019,1.45,8.58,10.93,20.73
HIG,2020,1.48,8.58,10.51,20.56
HIG,2021,1.65,7.42,9.6,18.67
HIG,2022,1.5,6.22,8.58,16.31
HLT,2019,8.63,8.48,4.05,21.16
HLT,2020,8.22,8.24,3.87,20.33
HLT,2021,8.04,8.13,3.61,19.78
HRL,2019,10.56,12.32,5.12,27.96
HRL,2020,10.02,11.23,4.98,26.24
HRL,2021,10.73,10.32,5.04,26.1
HST,2019,4.02,4.74,5.52,14.28
HST,2020,3.97,5.15,5.42,14.55
HST,2021,3.74,5.73,4.91,14.37
HSY,2019,9.14,10.87,5.92,25.95
HSY,2020,8.67,11.18,5.95,25.8
HSY,2021,9.72,10.32,5.29,25.34
IBM,2019,0.42,9.77,7.35,17.62
IBM,2020,0.41,9.96,7.25,17.6
IBM,2021,0.42,9.4,7.43,17.24
IBM,2022,0.47,6.67,7.64,14.77
IEX,2018,10.08,15.9,8.04,33.97
IEX,2020,10.67,15.4,7.66,33.74
IEX,2022,8.1,13.0,5.95,27.05
IPG,2019,0.05,9.99,6.06,16.15
IPG,2020,0.05,10.0,5.96,16.02
IPG,2021,0.05,9.69,5.98,15.73
IQV,2019,1.77,15.29,8.33,25.48
IQV,2020,1.67,14.74,7.86,24.26
IQV,2021,1.47,12.23,7.09,20.79
ITW,2020,4.64,9.31,6.29,20.23
ITW,2021,4.27,8.87,6.44,19.56
ITW,2022,4.36,9.14,6.43,19.93
ITW,2023,7.0,11.78,6.52,25.29
IVZ,2018,1.47,14.46,10.93,26.29
